time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,1.303091,-0.8488319999999999,-1.019922,0.180796,0.185978,2.0776950000000003,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.3808266015655842
0.04,2,0.04,1.130825,-1.304482,-0.677555,-0.080873,0.341377,2.6494869999999997,0.969318,-0.135997,-0.11818800000000002,1.423216,1.203765,0.8394389999999999,0.8438479999999999,0.46918000000000004,-0.425576,1.2082680000000001,0.377657,0.38100854325009614
0.08,3,0.04,1.815928,-1.193584,-0.432188,0.105398,0.6329819999999999,3.0027049999999997,1.438719,1.310531,-0.618707,0.9932110000000001,1.636651,1.119475,0.487346,1.004707,-0.34560100000000005,0.47063599999999994,0.065545,0.38119048493460805
0.12,4,0.04,1.26896,-1.3888610000000001,-1.0288760000000001,-0.087841,0.287746,3.244153,1.006412,1.0808719999999998,-0.705604,1.1181299999999998,0.853543,0.416678,1.190647,0.590073,-0.44236899999999996,0.787158,0.761813,0.38137242661912
0.16,5,0.04,0.72205,-1.243148,-2.172549,0.053909000000000006,0.22191799999999998,2.0924110000000002,0.171547,0.388679,1.005488,0.811423,0.222071,0.542668,0.258251,0.48666099999999995,0.6899529999999999,0.8248270000000001,0.707861,0.38155436830363193
0.2,6,0.04,1.040846,-1.098344,-1.647864,0.43616499999999997,0.541451,2.340821,0.211022,0.068888,1.37218,0.826153,0.674529,0.251339,0.580298,0.407271,0.77598,0.8845040000000001,0.813561,0.3817363099881439
0.24,7,0.04,1.1335,-0.9619639999999999,-1.601081,0.530515,0.671315,3.0189369999999998,0.267374,0.027556,0.8298540000000001,0.408485,0.922426,0.267167,0.003041,0.646875,1.062749,0.451775,0.747866,0.38191825167265586
0.28,8,0.04,0.993376,-1.116356,-1.472879,0.435817,0.344556,2.2522889999999998,0.864099,0.575092,0.518964,0.48428999999999994,0.388772,0.504432,0.200321,0.9101299999999999,0.088561,0.653644,0.596433,0.38210019335716777
0.32,9,0.04,0.8500620000000001,-1.0983559999999999,-1.471654,0.42624799999999996,0.52936,2.2795,0.383319,0.365114,0.807759,0.682218,0.080286,0.680358,0.511184,0.624607,0.36959000000000003,0.404219,0.844143,0.38228213504167974
0.36,10,0.04,0.9212440000000001,-0.839375,-1.8426619999999998,0.329002,0.307002,2.559236,0.680879,0.6878350000000001,0.569762,0.477024,0.801489,1.528622,1.374552,0.9085469999999999,0.34070500000000004,0.47545,0.191884,0.3824640767261917
