time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,0.592079,0.8828590000000001,-0.16022899999999998,1.014049,1.1211659999999999,0.183618,0.7280300000000001,1.699079,-0.24558200000000002,0.650532,0.46243199999999995,0.540713,0.272485,-0.02169,1.036186,0.598102,2.663765,-0.1614804274969447
0.04,2,0.04,0.575804,0.9857299999999999,-0.074399,1.0140850000000001,1.204928,0.194424,0.968802,1.8172150000000002,-0.241799,0.639932,0.538502,0.5889439999999999,0.323534,-0.41458199999999995,1.392768,0.516727,2.946349,-0.16108111524128685
0.08,3,0.04,0.596371,1.0022309999999999,-0.149865,0.9924719999999999,1.197569,0.136995,0.993967,1.671959,-0.27943,0.612887,0.612678,0.605834,0.307811,-0.426059,1.380274,0.501104,2.88037,-0.16068180298562904
0.12,4,0.04,0.582708,0.9926969999999999,-0.16459100000000002,0.9839540000000001,1.226316,0.1862,0.9482659999999999,1.7693419999999997,-0.3249,0.629778,0.617116,0.655759,0.361669,-0.424122,1.391632,0.48630100000000004,2.859527,-0.1602824907299712
0.16,5,0.04,0.692551,0.8286100000000001,0.072063,0.8476940000000001,1.319931,0.047707,0.864985,1.1658190000000002,-0.68826,0.661038,1.182129,0.156674,-0.065264,-0.361229,1.093112,1.1599549999999998,1.698091,-0.15988317847431338
0.2,6,0.04,0.186846,0.547999,-2.8999999999999997e-05,0.42965699999999996,1.323648,-0.45796000000000003,0.8370790000000001,0.732827,0.103777,0.7083079999999999,0.7180380000000001,-0.224773,-0.025003,-0.39208200000000004,1.3319020000000001,0.9491129999999999,1.6649040000000002,-0.15948386621865554
0.24,7,0.04,0.359106,0.176208,-0.030498,0.33371999999999996,1.070674,-0.725619,0.993333,0.627864,0.567291,0.451934,1.047449,-0.08457100000000001,-0.04634,-0.268524,1.790385,0.359128,1.4062940000000002,-0.15908455396299773
0.28,8,0.04,0.387527,0.23028200000000001,0.14936,0.247714,0.984567,-0.677082,0.554054,0.722647,-0.038562,0.628843,1.189937,-0.01757,-0.484347,-0.10325999999999999,1.4796280000000002,0.930853,1.084835,-0.15868524170733989
0.32,9,0.04,0.321308,0.130175,0.074683,-0.835593,0.609333,-1.40631,0.746991,0.797182,1.154498,0.695739,0.6668430000000001,0.274138,0.026695,0.44451599999999997,1.133417,0.644817,0.42111099999999996,-0.15828592945168204
0.36,10,0.04,0.301127,0.043615,-0.45382,-0.785392,0.662483,-1.8495840000000001,0.508614,0.581587,1.206951,0.91446,1.002073,0.49283699999999997,-0.11331300000000001,0.5762109999999999,1.0340790000000002,0.43408500000000005,0.352705,-0.15788661719602423
0.4,11,0.04,0.226367,0.09084,-1.022924,-0.718182,0.555271,-1.774716,0.634509,0.44451,1.164457,0.708226,1.197316,0.479682,-0.24252600000000002,0.63362,1.125991,-0.061755,0.076007,-0.1574873049403664
0.44,12,0.04,0.33663899999999997,0.060740999999999996,-0.529429,-0.944916,0.542312,-1.93271,0.510882,0.545975,1.301611,0.934544,0.590119,0.39624299999999996,-0.3799,0.448858,0.690297,0.109972,0.06403400000000001,-0.15708799268470858
0.48,13,0.04,0.44304,0.264339,-1.0186309999999998,-0.543421,0.33912,-1.7291299999999998,0.49188699999999996,0.31706999999999996,1.271825,1.103191,1.0771979999999999,0.555325,-0.32642600000000005,0.481767,0.182973,-0.293631,-0.330671,-0.15668868042905074
0.52,14,0.04,0.181501,0.035486000000000004,-0.23186199999999998,-0.804937,0.24584499999999998,-1.4464709999999998,0.657185,0.7831199999999999,1.303065,0.9225260000000001,1.059795,0.275661,-0.263327,0.666712,0.136526,-0.148832,-0.350037,-0.15628936817339292
0.56,15,0.04,0.350475,0.149825,-0.812645,-0.792437,0.24979,-1.50348,0.9615290000000001,0.825794,1.754407,1.002879,0.8593649999999999,0.47850699999999996,-0.026616,0.647167,-0.246288,-0.380554,-0.315832,-0.15589005591773508
0.6,16,0.04,0.44054399999999994,0.302727,-1.295115,-0.614108,0.21940199999999999,-0.663652,0.686348,1.3944459999999999,1.247321,1.052814,0.907739,0.51817,0.107339,0.572574,-0.475822,-0.287128,-0.52067,-0.15549074366207727
0.64,17,0.04,0.060848,0.400456,-1.187848,-1.0101069999999999,0.274411,-0.955974,0.5995779999999999,1.144906,0.923842,0.777325,1.160782,0.9874620000000001,0.338978,1.151576,-0.554176,-0.34920300000000004,-1.319148,-0.15509143140641943
0.68,18,0.04,0.10779100000000001,0.377311,-1.318308,-0.635727,0.107406,-1.292635,0.936718,1.3696709999999999,1.985832,0.652604,0.9699780000000001,1.537029,0.615755,1.464061,-0.280627,-0.296213,-1.146421,-0.1546921191507616
0.72,19,0.04,0.006951000000000001,0.18196099999999998,-1.334001,-0.8996299999999999,0.379506,-1.351732,0.274952,1.013986,1.184595,0.700122,1.312134,1.0226819999999999,0.296506,1.034958,-0.6610729999999999,-0.550701,-0.584037,-0.15429280689510377
0.76,20,0.04,0.161355,0.267565,-0.9465819999999999,-0.7894359999999999,0.25246199999999996,-1.1119219999999999,0.8435090000000001,1.487736,0.663848,0.791734,1.0290350000000001,1.131167,0.050547,1.110601,-0.894099,-0.71358,-0.8332639999999999,-0.15389349463944593
0.8,21,0.04,-0.23027399999999998,0.33184400000000003,-1.2997670000000001,-0.683354,0.312245,-1.3803,0.49042600000000003,0.635568,1.138217,0.607114,1.157648,1.609225,0.531748,1.573863,-1.162354,-0.46763599999999994,-0.706518,-0.15349418238378812
0.84,22,0.04,-0.145499,0.70194,-0.5937180000000001,-0.619927,0.6302939999999999,-0.9764,0.232308,0.514938,0.582834,0.48094,0.836995,1.9559080000000002,0.6019979999999999,1.511048,-0.6522359999999999,-0.087158,-0.677284,-0.15309487012813028
0.88,23,0.04,-0.298446,0.535902,-1.107164,-0.6677270000000001,0.605889,-0.623829,0.276406,0.961548,1.251918,0.131119,0.852403,1.609335,0.876476,1.636496,-0.795872,0.0028,-0.6800039999999999,-0.15269555787247246
0.92,24,0.04,-0.239127,0.656088,-0.9208940000000001,-0.67375,0.683029,-0.7844270000000001,0.37151100000000004,1.160412,0.881649,0.256158,0.851922,1.413295,0.735062,1.6335790000000001,-0.680567,0.098636,-0.8862469999999999,-0.15229624561681462
0.96,25,0.04,-0.467257,0.753505,-1.1893040000000001,-0.5903189999999999,0.730648,-0.288313,0.153474,1.384974,0.603974,0.21131599999999998,0.598981,1.635534,0.9441729999999999,1.690607,-0.798694,0.037218,-0.766425,-0.15189693336115678
1.0,26,0.04,-0.353558,0.959548,-1.142786,-0.609401,0.8332649999999999,-0.312037,0.290892,1.0961299999999998,0.7513479999999999,0.281515,1.102601,0.9633729999999999,0.8698379999999999,1.489154,-0.74266,0.142984,-0.598126,-0.15149762110549897
