time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,0.339425,-0.7255510000000001,-1.834237,0.088716,-0.594533,0.28597100000000003,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.1357377542309704
0.04,2,0.04,0.30585500000000004,-0.930787,-2.397311,0.078733,-0.599426,0.44442200000000004,0.765409,0.6674329999999999,0.76762,0.525208,0.331007,0.42182200000000003,0.228048,0.584106,0.709479,0.11453699999999999,0.794277,0.13594898656129248
0.08,3,0.04,0.222323,-1.0373290000000002,-2.8939150000000002,0.04657,-0.500312,-0.086493,0.414626,0.577435,0.859876,0.539538,0.2503,0.629232,0.13384400000000002,0.610028,0.31198200000000004,0.401089,0.383191,0.13616021889161453
0.12,4,0.04,0.32805,-1.030827,-2.81281,0.034908,-0.493087,-0.133993,0.280264,0.6093310000000001,0.876611,0.464301,0.21371199999999999,0.6318239999999999,0.097349,0.731977,0.389016,0.358277,0.418525,0.1363714512219366
0.16,5,0.04,0.30049000000000003,-0.949182,-2.764646,0.09240599999999999,-0.550639,0.041783999999999995,0.542434,0.906135,0.606201,0.377023,0.084313,0.44768100000000005,0.21649699999999997,0.688493,0.6133609999999999,0.293904,0.50598,0.13658268355225867
0.2,6,0.04,0.173012,-0.965089,-2.435618,0.107173,-0.470479,-0.25263800000000003,0.505185,0.901493,0.367662,0.33652600000000005,0.266541,0.5056390000000001,0.34018899999999996,0.694013,0.595022,0.487329,0.485403,0.13679391588258075
0.24,7,0.04,0.11583900000000001,-0.898277,-2.834651,0.161572,-0.475463,0.24412899999999998,0.371919,0.666057,0.544064,0.326193,0.193571,0.6524,0.44528100000000004,0.6733359999999999,0.491867,0.520383,0.8752340000000001,0.1370051482129028
0.28,8,0.04,0.331308,-1.022469,-2.753376,0.060569000000000005,-0.509858,0.0059960000000000005,0.6392180000000001,0.616821,0.658062,0.259213,-0.062682,0.7174590000000001,0.450496,0.980259,0.287229,0.183861,0.686427,0.13721638054322488
0.32,9,0.04,0.304062,-1.107592,-2.370841,0.256334,-0.47049300000000005,0.418939,0.9704969999999999,0.717411,0.056767,0.542916,-0.059316999999999995,1.042843,0.435431,0.781537,0.689046,0.35751700000000003,1.557877,0.13742761287354693
0.36,10,0.04,0.65313,-1.157877,-3.199055,0.22554699999999997,-0.62337,0.7696189999999999,1.7127759999999999,0.7737539999999999,-0.183091,1.006528,-0.125952,1.3699379999999999,0.738114,0.7447229999999999,0.717651,-0.158448,0.511203,0.13763884520386901
0.4,11,0.04,-0.029205000000000002,-1.276393,-1.8843029999999998,1.221782,-0.40119299999999997,-0.286781,1.9050669999999998,0.6596850000000001,0.80184,0.561272,-0.173014,1.449963,0.48056000000000004,1.7281799999999998,0.006459,0.798317,-0.896273,0.13785007753419107
0.6,16,0.2,0.027844999999999998,-0.846316,-2.4882560000000002,0.018015,-0.217904,0.650696,2.105424,0.034943,-0.9007,-0.148624,1.813612,3.848148,1.59766,2.7887720000000003,-0.022687,1.310959,-0.22813899999999998,0.13890623918580142
0.64,17,0.04,0.378852,-1.078769,-2.9956490000000002,-0.127435,-0.11224100000000001,0.603481,2.2330360000000002,-0.416566,-1.7323540000000002,-0.225625,1.025372,3.732065,1.130714,1.6168790000000002,0.10526500000000001,1.364743,0.637807,0.1391174715161235
0.68,18,0.04,-0.09678300000000001,-1.3769200000000001,-2.6913,-0.807217,-0.495867,0.611747,2.132868,0.118559,-0.856233,-0.390301,0.9386389999999999,3.4314430000000002,1.288661,2.229263,-0.13256300000000001,1.4999799999999999,0.988835,0.13932870384644555
0.72,19,0.04,-0.018827,-1.485211,-2.65824,-0.9770700000000001,-0.373798,0.590809,1.660063,-0.0756,-1.675154,-0.500953,0.792375,2.9861240000000002,1.031788,2.147491,0.071737,1.6295600000000001,0.239463,0.13953993617676763
0.76,20,0.04,0.045152,-1.3879350000000001,-3.009466,-0.798248,-0.349571,0.6256430000000001,1.707803,0.09225900000000001,-1.346026,-0.361185,1.197759,3.1654139999999997,1.284011,2.2055540000000002,0.005577,0.8744120000000001,0.12022200000000001,0.13975116850708968
0.8,21,0.04,0.02137,-1.397897,-2.588893,-0.323847,-0.377612,0.28491700000000003,1.8453400000000002,0.042681000000000004,-0.8917649999999999,-0.292004,1.413646,3.1190919999999998,1.1272959999999999,2.2546060000000003,0.012273000000000001,1.000948,0.3242,0.13996240083741177
0.84,22,0.04,0.153723,-1.220037,-2.36003,-0.507175,-0.193219,0.5556949999999999,1.809462,0.73005,-0.713861,-0.058089999999999996,1.005199,3.0421720000000003,1.467867,2.40829,-0.171684,0.7927890000000001,-0.102976,0.14017363316773382
0.88,23,0.04,0.17833800000000002,-1.093958,-2.4624490000000003,-0.173797,-0.376208,0.22332,1.205686,0.720703,-0.384025,0.51572,1.212513,2.823684,0.930283,2.19122,-0.09190599999999999,1.051186,-0.337447,0.1403848654980559
0.92,24,0.04,0.20739899999999997,-1.076193,-2.621395,-0.016259,-0.315347,0.300021,1.256254,0.736136,-0.22311999999999999,0.386205,1.231,2.834406,1.0298889999999998,2.118515,-0.069887,0.993309,-0.083501,0.14059609782837795
0.96,25,0.04,0.35483600000000004,-1.103125,-2.5162880000000003,-0.131127,-0.28632399999999997,0.732328,1.554162,1.095799,0.482483,0.376985,1.634499,3.096168,2.370777,1.904995,-0.052763,0.430116,0.147876,0.14080733015870003
1.0,26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1410185624890221
1.04,27,0.04,-0.037155,-1.596919,-3.513758,0.354514,-0.351455,-0.359281,1.1083370000000001,-0.11053800000000001,0.380757,-0.568327,0.47066099999999994,1.702425,-0.380409,0.878434,-0.5790310000000001,1.013449,0.17283900000000002,0.14122979481934417
1.08,28,0.04,0.5419510000000001,-1.205773,-2.708202,-0.15496300000000002,-0.410807,0.140018,1.4432260000000001,1.7362830000000002,0.735006,0.14397000000000001,-0.218604,1.3434030000000001,-0.573287,0.781913,-0.228764,0.289731,-0.241125,0.14144102714966622
1.2,31,0.12,-0.18679,-0.8655010000000001,-0.675802,0.46693999999999997,-0.500849,0.019188,0.715264,2.1519459999999997,0.112848,0.940895,-0.17318699999999998,0.126116,0.146362,0.500237,0.12223900000000001,-0.39455,1.084296,0.14207472414063244
1.24,32,0.04,-0.025178,-0.4569,0.623445,0.841095,-0.45302,-0.042466000000000004,0.213948,1.588127,0.042602,2.093139,-0.017831,0.526551,-0.233582,0.528242,0.8931540000000001,0.296458,1.888353,0.14228595647095452
1.28,33,0.04,0.118003,-0.523258,0.05896900000000001,0.638352,-0.7663449999999999,0.17463399999999998,0.42129300000000003,1.388927,-0.118475,2.097906,-0.035028,0.68533,-0.037839,0.617251,0.6086560000000001,-0.13550399999999999,1.826384,0.14249718880127657
1.32,34,0.04,-0.826987,-0.8667540000000001,-2.354015,0.8720399999999999,-0.49084799999999995,-0.556199,-0.6323300000000001,-0.49625699999999995,1.459396,1.8039669999999999,-0.652782,0.6956680000000001,0.46054399999999995,1.0634549999999998,0.9053190000000001,-0.26948,-0.164486,0.14270842113159865
1.36,35,0.04,-0.45333599999999996,-0.123331,-0.657949,0.8619760000000001,-0.101491,-0.377911,0.014602,0.07707699999999999,2.345707,1.8530900000000001,-0.692176,0.661967,0.208411,0.71499,0.940896,0.388928,-0.507578,0.1429196534619207
1.4,36,0.04,0.12394000000000001,-0.069131,-2.527277,0.302319,-0.372753,-0.938334,-0.818729,0.073659,1.454094,1.590766,-0.12816,0.162779,0.135256,0.038147,0.8146180000000001,-0.121651,1.009415,0.14313088579224278
1.44,37,0.04,0.29875999999999997,0.423096,-2.934017,0.284623,-0.173315,-0.720429,-0.9899530000000001,0.817547,1.708477,1.483436,0.598617,0.16471,0.608518,-0.28318499999999996,0.958048,-0.585658,0.7830159999999999,0.14334211812256484
1.48,38,0.04,0.171221,0.10830799999999999,-2.02075,0.113001,-0.25901199999999996,-0.569337,-0.756209,0.750162,0.473724,1.0421690000000001,-0.526292,-0.333619,0.8370299999999999,-0.461262,0.680276,-0.040806,1.514575,0.14355335045288692
1.52,39,0.04,0.078333,-0.000283,-2.384246,-0.047326,-0.234116,-0.522805,-0.590029,0.792006,0.870051,0.8032159999999999,-0.26064499999999996,-0.24815900000000002,0.666068,-0.330023,0.572751,0.087769,1.4950450000000002,0.14376458278320897
1.56,40,0.04,0.26612199999999997,-0.07774600000000001,-1.5821450000000001,0.20212,-0.297827,-0.143977,-0.336889,0.915593,1.45071,0.530828,0.064957,-0.40985299999999997,0.597006,-0.766569,0.620221,0.147695,1.905931,0.14397581511353105
1.6,41,0.04,0.690362,-0.343395,-2.257477,-0.165453,-0.392744,0.167198,0.630548,0.45840699999999995,0.904648,0.154925,-0.433537,-0.47498599999999996,-0.130616,-0.9867870000000001,0.07835,0.136041,1.150488,0.1441870474438531
1.64,42,0.04,0.667801,-0.393974,-2.569671,-0.189611,-0.5034489999999999,0.07205800000000001,0.537219,0.40518000000000004,0.531704,0.167482,-0.575337,-0.400986,-0.08926,-0.868383,0.24086300000000002,0.29199200000000003,1.310665,0.1443982797741752
1.68,43,0.04,1.0950010000000001,-0.546246,-1.9533189999999998,-0.363023,-0.510829,0.128328,0.5901649999999999,-0.196432,0.49013999999999996,0.041961,-0.436173,-0.58827,-0.214802,-0.838942,0.344431,0.537061,1.0459,0.14460951210449724
1.72,44,0.04,1.064309,-0.597091,-2.29011,-0.25113800000000003,-0.613228,0.062909,0.591647,-0.088047,0.641466,0.113471,-0.32923600000000003,-0.536832,-0.28794899999999995,-0.695534,0.341402,0.5946819999999999,1.123384,0.14482074443481932
