time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,-1.220626,0.142814,-1.7082849999999998,1.260216,0.802259,1.8536669999999997,-0.48127200000000003,0.688379,0.131467,0.118149,-1.9768830000000002,-0.7514109999999999,-0.153793,0.7350869999999999,1.2963879999999999,1.5048620000000001,0.753735,0.11796408154366833
0.04,2,0.04,-1.1013389999999998,-0.159225,-0.845505,1.7879470000000002,0.8640110000000001,0.7905909999999999,-0.5981609999999999,0.076328,1.201316,0.19705999999999999,-1.812878,-0.199232,0.740017,0.783341,1.5357299999999998,1.211306,0.222898,0.1182395818798345
0.08,3,0.04,-1.280604,-0.05368099999999999,-0.9260209999999999,2.095084,0.9752350000000001,1.467973,-0.39539,0.500765,0.52064,0.061140999999999994,-1.477407,-0.041164,0.22827199999999997,0.629437,1.695773,1.318083,0.28617600000000004,0.11851508221600066
0.12,4,0.04,-1.1129129999999998,-0.081854,-1.057984,1.2231319999999999,0.738825,1.4815040000000002,-0.265387,0.21814899999999998,0.778119,0.019909,-1.5422280000000002,-0.29531999999999997,0.596538,0.303228,1.266389,1.32926,0.5523239999999999,0.11879058255216682
0.16,5,0.04,-1.3151059999999999,-0.249532,-0.310421,1.68618,0.610233,1.89156,0.001282,0.175216,0.43563999999999997,0.034562999999999997,-1.079069,-0.034546,0.646863,0.373764,1.229822,1.3963889999999999,0.0108,0.119066082888333
0.2,6,0.04,-1.256029,-0.366894,-1.5844719999999999,1.7664650000000002,0.7791640000000001,0.990604,-0.005457,0.312213,0.050497,0.08695,-1.03128,-0.455959,0.290777,0.24456399999999998,1.1441780000000001,1.179024,-0.218506,0.11934158322449916
0.24,7,0.04,-1.054001,-0.5055470000000001,-1.567935,0.91205,0.692616,1.389464,0.240103,0.639712,0.298703,-0.197937,-0.906344,-0.451603,0.600358,0.25636,1.216059,1.311674,0.024287,0.11961708356066532
0.28,8,0.04,-0.988043,-0.26137699999999997,-1.542876,1.18195,0.8641129999999999,1.511654,0.008475,0.52174,-0.161074,-0.027305,-1.388495,-0.439287,0.344717,0.355067,1.406906,1.349664,0.420808,0.11989258389683148
0.32,9,0.04,-1.172502,-0.423613,-1.546216,1.6199709999999998,0.9052959999999999,1.17246,-0.260654,0.003918,-0.204198,-0.019009,-0.8711479999999999,-0.422737,0.761683,0.43744399999999994,1.5180049999999998,1.485673,0.33986500000000003,0.12016808423299764
0.36,10,0.04,-1.208249,-0.32007800000000003,-1.303253,1.529291,0.947975,1.312738,-0.339546,-0.018962,-0.113245,0.012411,-1.0815569999999999,-0.409765,0.785644,0.32548499999999997,1.129234,0.9512120000000001,0.480034,0.1204435845691638
