time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.20985,-0.113955,0.6958310000000001,-0.351484,-0.387772,0.935859,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07729322525330723
0.04,2,0.04,0.610496,-0.210659,0.426979,-0.633372,-0.439158,0.797369,0.34931999999999996,0.142999,0.03188,0.5921890000000001,0.194426,0.313429,0.6045560000000001,0.358942,0.45842299999999997,0.5678340000000001,0.5985689999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07702872292589849
0.08,3,0.04,0.535231,-0.291026,0.44644399999999995,-0.701711,-0.37209899999999996,0.794941,0.503372,0.516351,0.159928,0.607798,0.135269,0.502974,0.557003,0.688882,0.642146,0.346314,0.49371800000000005,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07676422059848974
0.12,4,0.04,0.518201,-0.280122,0.387911,-0.696866,-0.259088,0.8977649999999999,0.520928,0.498148,0.334685,0.589041,0.228924,0.503804,0.6531819999999999,0.663737,0.635391,0.39576300000000003,0.66975,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.076499718271081
0.16,5,0.04,0.348564,-0.06866599999999999,0.552337,-0.551134,-0.444327,0.8479760000000001,0.176573,0.14945,0.294651,0.6488510000000001,-0.074085,0.659313,0.6308600000000001,0.543341,0.886526,0.451342,0.759406,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07623521594367225
0.2,6,0.04,0.308566,-0.10957599999999999,0.5202289999999999,-0.43959,-0.374305,0.8892100000000001,0.205544,0.400393,0.24608200000000002,0.619576,0.217552,0.8620969999999999,0.63659,0.570825,0.697325,0.729716,0.612563,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07597071361626351
0.24,7,0.04,0.468135,0.010241,0.933919,-0.22056399999999998,-0.330596,0.8031520000000001,0.34971399999999997,0.43173100000000003,0.624186,0.467765,0.305214,0.852234,0.35284,0.7102970000000001,0.33617800000000003,0.376252,0.694828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07570621128885476
0.28,8,0.04,-0.212365,-0.23238899999999998,0.30174,-0.41516099999999995,-0.23147600000000002,0.378359,0.396996,0.41426899999999994,-0.47863,0.5789989999999999,-0.069254,0.857282,-0.031545,0.773463,0.261465,0.616211,0.38549,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07544170896144602
0.32,9,0.04,0.271935,-0.078373,0.433942,-0.448614,-0.341937,0.475782,0.077626,0.394196,0.60611,0.490305,0.657065,0.8214629999999999,0.076101,0.7184050000000001,0.475893,0.553962,0.44134799999999996,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07517720663403728
0.36,10,0.04,-0.125498,-0.308087,-0.059928999999999996,-0.5573,-0.391644,0.686693,0.191794,0.6170979999999999,0.636969,0.558794,0.18046700000000002,0.733954,0.12167,0.665493,0.46295600000000003,0.45745600000000003,0.176672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07491270430662852
0.4,11,0.04,0.18945499999999998,-0.251425,0.045793,-0.648333,-0.327007,0.5698479999999999,0.541303,0.7635029999999999,0.263371,0.35168699999999997,0.35681599999999997,0.5515800000000001,0.350894,0.682042,0.485901,0.540462,1.043711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07464820197921979
0.44,12,0.04,0.12319400000000001,-0.271476,0.180319,-0.301177,-0.156026,0.598828,0.545535,0.8867299999999999,0.189654,0.611592,0.136418,0.359709,0.24296399999999999,0.629309,0.902503,0.707954,0.872898,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07438369965181103
0.48,13,0.04,0.127158,-0.381781,0.098471,-0.485097,-0.30805,0.46243,0.70349,1.038765,0.154107,0.380712,0.160528,0.47032299999999994,0.25872399999999995,0.46914799999999995,0.37367100000000003,0.263594,0.537948,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0741191973244023
0.52,14,0.04,0.277733,-0.473336,0.027148000000000002,-0.48645299999999997,-0.305548,0.575433,0.5795640000000001,0.387336,0.186038,0.580451,0.130156,0.525205,0.239073,0.5908439999999999,0.250908,0.544057,0.70043,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07385469499699354
0.56,15,0.04,0.042545,-0.44563400000000003,-0.22185300000000002,-0.690721,-0.38167399999999996,0.684647,0.308791,0.40697300000000003,0.141906,0.5731649999999999,0.189629,0.454298,0.214448,0.490587,0.287985,0.6473439999999999,0.461954,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0735901926695848
