time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,-1.0832469999999998,0.646868,0.674092,2.636328,0.748596,-0.49198000000000003,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28175488723769926
0.04,2,0.04,-0.62979,0.672315,1.3311950000000001,2.1639459999999997,0.7238060000000001,0.19100999999999999,0.42797299999999994,0.842893,0.312737,0.209642,0.42444499999999996,0.573458,0.022296,0.321813,0.49447299999999994,0.34686999999999996,0.48242700000000005,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28196002247798196
0.08,3,0.04,-0.730495,0.7497,1.291567,2.143453,0.632059,-0.142266,0.559595,0.170201,-0.10082,0.418655,0.218973,1.116978,0.680474,0.562062,0.495123,0.223777,0.319231,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28216515771826467
0.12,4,0.04,-0.45556599999999997,0.970569,1.5575,2.56585,0.8047,0.10843599999999999,0.615104,0.34596,-0.152041,0.631606,0.442696,0.849139,0.938859,0.48623900000000003,0.471706,0.983706,0.45425299999999996,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2823702929585474
0.16,5,0.04,-0.32819699999999996,0.71499,0.7107939999999999,2.330731,0.682732,0.35743400000000003,0.30633,0.328019,0.22571799999999997,0.589809,-0.008523000000000001,0.46334,0.326532,0.605581,0.49605,0.496745,0.411408,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825754281988301
0.2,6,0.04,-0.320329,0.697589,0.98788,2.511557,0.556933,0.771003,0.49199499999999996,0.305345,0.387233,0.685095,-0.050977,0.48868500000000004,0.31678,0.544975,0.229609,0.5670470000000001,0.816945,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2827805634391128
0.24,7,0.04,-0.365203,0.68934,1.0962129999999999,2.5133810000000003,0.583812,0.747499,0.588975,0.417976,0.276392,0.527347,0.13951,0.713741,0.6925819999999999,0.718719,0.43393000000000004,0.55161,0.668283,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28298569867939555
0.28,8,0.04,-0.771508,0.5956640000000001,1.348286,2.472286,0.400258,0.04099,0.10347999999999999,-0.073197,0.14896700000000002,0.510337,0.13331700000000002,0.580615,1.005937,0.7055170000000001,0.7443,0.9944,0.900727,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28319083391967825
0.32,9,0.04,-0.496583,0.45984200000000003,1.444833,2.329154,0.39867199999999997,0.314058,0.253979,0.447614,0.40372800000000003,0.560425,0.31195700000000004,0.522783,0.689307,0.557442,0.60441,0.707316,0.78062,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28339596915996096
0.36,10,0.04,-0.79548,0.607065,1.972348,2.337518,0.573214,0.231375,0.326891,0.09865800000000001,0.752657,0.458239,0.18043,0.469908,0.371372,0.735161,0.720746,1.08549,0.979017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28360110440024366
