time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,-1.543252,-0.430655,0.11956199999999999,-1.0640020000000001,-0.337412,-0.684574,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.23023739984709868
0.04,2,0.04,-1.120015,-0.679751,-0.727435,-1.68615,-0.486336,-0.095223,1.005448,0.9711219999999999,-0.019977,-0.105572,0.35273000000000004,0.033043,-0.23981799999999998,0.296234,0.860399,-0.404602,0.677372,0.23037936568645892
0.08,3,0.04,-1.040861,-0.680701,-0.705813,-1.89726,-0.201123,0.514181,0.593308,0.5696399999999999,0.183879,-0.079631,-0.0065980000000000006,0.961728,0.20953899999999998,0.6612439999999999,0.860768,-0.22175599999999998,0.757325,0.23052133152581916
0.12,4,0.04,-0.993717,-0.553674,-0.592763,-1.5094969999999999,-0.10848499999999998,0.389918,0.708415,0.9211309999999999,0.390252,-0.193081,-0.183478,0.6701229999999999,0.085392,0.657044,0.49881499999999995,-0.198985,0.692904,0.2306632973651794
0.16,5,0.04,-1.043777,-0.5347,-0.297627,-1.373371,-0.073973,0.8187270000000001,0.5027729999999999,0.67598,0.214883,0.427048,-0.058013999999999996,0.20141900000000001,0.277433,0.627847,0.577471,0.33726300000000003,0.641913,0.23080526320453965
0.2,6,0.04,-0.70248,-0.646708,-0.518846,-1.532993,-0.164644,0.49580799999999997,0.764638,0.764506,0.003714,0.390125,-0.08031,-0.069138,0.6728890000000001,0.417468,0.330583,0.066887,1.3882709999999998,0.23094722904389992
0.24,7,0.04,-0.6211770000000001,-0.883675,-1.199388,-1.487242,-0.259196,0.8015359999999999,0.804141,0.37296599999999996,0.6815680000000001,0.42545600000000006,-0.022109,0.286071,0.59283,0.426256,0.521402,0.086774,1.7336169999999997,0.23108919488326016
0.28,8,0.04,-0.599915,-0.62239,-0.8295030000000001,-1.465309,-0.429933,0.885024,0.46180699999999997,0.291376,0.24563200000000002,0.603807,0.167191,0.06913899999999999,1.00413,0.54915,0.19067,0.6950310000000001,1.459553,0.2312311607226204
0.32,9,0.04,-0.7571289999999999,-0.502957,-0.035761,-1.763628,-0.558926,0.46529499999999996,0.412208,0.5166069999999999,0.27072199999999996,0.6965279999999999,-0.276912,0.294398,0.94886,0.709117,-0.109367,0.534017,0.9431149999999999,0.23137312656198064
0.36,10,0.04,-0.841232,-0.381276,-0.046651,-1.484594,-0.497712,0.341706,0.307153,0.218844,0.27834000000000003,0.762827,-0.25809499999999996,0.254708,0.755368,0.7544,0.09751599999999999,0.637934,0.733429,0.23151509240134088
0.4,11,0.04,-0.776679,-0.513207,-0.519161,-1.509423,-0.44843500000000003,0.503499,0.31745100000000004,0.209605,0.109172,0.69152,-0.12053299999999999,0.486512,0.811066,0.836199,0.038438,0.25910900000000003,0.551241,0.23165705824070112
0.44,12,0.04,-0.8645149999999999,-0.564247,-0.700689,-1.489493,-0.3089,0.272831,0.618029,0.537148,0.278215,0.570761,0.03871,0.37153200000000003,0.688875,0.802854,0.256474,0.371627,0.103775,0.23179902408006137
0.48,13,0.04,-0.615308,-0.7523989999999999,-0.467699,-1.5798,-0.397258,-0.108076,0.640894,0.275946,-0.218319,0.634219,0.087931,0.136778,0.43707399999999996,0.616818,0.35842199999999996,0.15598299999999998,0.275084,0.2319409899194216
0.52,14,0.04,-0.664636,-0.883958,-1.023825,-1.560149,-0.362299,-0.248489,0.65283,0.321782,0.12253499999999999,0.415901,0.21891,0.070628,0.17456300000000002,0.631171,0.482471,-0.195475,0.318078,0.23208295575878185
0.56,15,0.04,-0.609862,-1.0878649999999999,-0.8868309999999999,-1.465084,-0.42968599999999996,-0.344227,0.6924170000000001,0.454121,0.24040599999999998,0.28446,0.23851599999999998,-0.10570299999999999,-0.136488,0.54042,0.42931499999999995,0.026407,0.22771,0.23222492159814212
0.6,16,0.04,-0.640472,-1.112472,-0.6023229999999999,-1.1517950000000001,-0.429183,-0.578864,0.41513199999999995,0.293657,0.259288,0.31004899999999996,0.029195,-0.338473,0.007679999999999999,0.344681,0.08819099999999999,0.101722,0.405383,0.23236688743750236
0.64,17,0.04,-0.684196,-1.090657,-0.554502,-1.151011,-0.427663,-0.543118,0.39121500000000003,0.42978999999999995,0.362086,0.38440100000000005,0.10270499999999999,-0.352585,0.045273,0.281354,0.284057,0.24749000000000002,0.464408,0.2325088532768626
0.68,18,0.04,-0.795484,-0.9860030000000001,-1.101673,-0.701954,-0.224521,-0.7094090000000001,0.583411,0.535227,-0.082776,0.47484399999999993,0.447536,-0.619875,0.095717,0.09171499999999999,0.28363499999999997,0.140602,0.650107,0.23265081911622285
0.72,19,0.04,-0.8129649999999999,-0.9483219999999999,-0.973367,-0.77988,-0.260504,-0.738158,0.543378,0.38845599999999997,-0.080852,0.390261,0.384904,-0.521424,0.22294699999999998,0.1499,0.328237,0.265918,0.519598,0.2327927849555831
0.76,20,0.04,-0.681286,-1.05712,-1.103632,-0.755934,-0.45691099999999996,-0.800434,0.5353600000000001,0.221361,-0.25943299999999997,0.399961,0.33618200000000004,-0.415921,0.48478699999999997,0.11536400000000001,0.404976,0.41711800000000004,0.672914,0.23293475079494333
0.8,21,0.04,-0.704378,-1.1508559999999999,-1.384935,-0.426213,-0.469397,-0.361528,0.66801,0.5803149999999999,0.076473,0.550706,0.394617,-0.615043,0.291796,0.015867,0.41118000000000005,0.142378,0.759916,0.23307671663430357
0.84,22,0.04,-0.621037,-1.048381,-1.211614,-0.367244,-0.358688,-0.354252,0.711317,0.533831,-0.52077,0.40941700000000003,0.356491,-0.38059499999999996,0.17157999999999998,-0.072686,0.347193,0.408931,0.8564510000000001,0.2332186824736638
0.88,23,0.04,-0.694986,-0.9873370000000001,-1.1605969999999999,-0.44198699999999996,-0.332177,-0.246669,0.59333,0.515202,-0.45823500000000006,0.402966,0.155078,-0.226789,0.41765,0.05161,0.221581,0.419916,0.749887,0.23336064831302408
0.92,24,0.04,-0.783442,-1.079664,-1.413938,-0.361742,-0.501372,-0.39467800000000003,0.598168,0.52735,-0.201745,0.559267,0.24435700000000002,-0.25763600000000003,0.59533,0.042194999999999996,0.24464699999999998,0.228873,0.611481,0.23350261415238432
0.96,25,0.04,-0.44896099999999994,-1.1696389999999999,-1.296095,-0.6039,-0.52304,-0.29734099999999997,0.652311,0.776509,0.338319,0.5025,0.408077,-0.0017050000000000001,0.423339,0.042974,0.398908,0.385779,0.46923000000000004,0.23364457999174457
1.0,26,0.04,-0.573239,-1.061432,-1.331891,-0.440511,-0.49160699999999996,-0.35807100000000003,0.633725,0.906702,-0.14851,0.5694239999999999,0.122084,-0.235504,0.230625,-0.003658,0.541146,0.47713199999999995,0.315838,0.2337865458311048
1.04,27,0.04,-0.526991,-1.029233,-1.395266,-0.40229299999999996,-0.473656,-0.313266,0.6418020000000001,0.854215,-0.1597,0.484958,0.335327,0.155808,0.24071199999999998,0.127364,0.390366,0.522513,0.33823400000000003,0.23392851167046505
1.08,28,0.04,-0.672561,-1.06101,-1.2265780000000002,-0.42758900000000005,-0.48477299999999995,-0.63012,0.5650689999999999,0.760205,0.43896899999999994,0.458851,0.184853,0.03735,0.642736,0.023444,0.372207,0.279221,0.275533,0.2340704775098253
1.12,29,0.04,-0.6099140000000001,-1.057393,-1.369617,-0.312761,-0.47366199999999997,-0.588884,0.501992,0.572022,0.40249,0.500266,0.23193699999999998,0.015097999999999999,0.5354220000000001,0.055478999999999994,0.557705,0.414728,0.20834,0.23421244334918553
1.16,30,0.04,-0.625448,-1.089656,-1.351399,-0.607827,-0.455165,-0.526616,0.532831,0.263941,0.339956,0.540988,0.137329,-0.050717,0.5398970000000001,0.085439,0.9065549999999999,0.414005,0.387443,0.23435440918854578
1.2,31,0.04,-0.555613,-1.042538,-0.842268,-0.390969,-0.556873,-0.536067,0.87303,0.795387,0.2788,0.520999,0.114184,-0.059432000000000006,0.504469,-0.006781999999999999,0.618916,0.219275,0.001698,0.23449637502790602
1.24,32,0.04,-0.45479200000000003,-1.104248,-1.283927,-0.642834,-0.5336420000000001,-0.34407,0.916849,1.0358209999999999,0.5520930000000001,0.48864799999999997,0.272624,0.23286700000000002,0.338212,0.131448,0.555363,0.286398,0.12237100000000001,0.2346383408672663
1.28,33,0.04,-0.500424,-1.076843,-1.216407,-0.603388,-0.519065,-0.307873,0.9142170000000001,0.948055,0.44251899999999994,0.5547890000000001,0.256836,0.200717,0.400057,0.179581,0.612,0.364433,0.182898,0.23478030670662653
1.32,34,0.04,-0.335279,-1.10915,-0.955557,-0.6334930000000001,-0.511254,-0.475979,0.8797860000000001,0.66583,0.8361360000000001,0.5254479999999999,0.25088699999999997,0.39208000000000004,0.3696,0.230033,0.773483,0.37354299999999996,0.07017799999999999,0.23492227254598677
1.36,35,0.04,-0.6345890000000001,-1.014812,-1.085244,-0.781201,-0.483229,-0.251606,0.7653479999999999,0.667908,0.297302,0.432821,-0.0592,0.288983,0.510592,0.32478,0.876499,0.32418800000000003,0.40678800000000004,0.235064238385347
1.4,36,0.04,-0.574941,-1.159522,-1.0157459999999998,-0.815806,-0.48406499999999997,-0.081085,0.8690190000000001,0.729201,0.381002,0.456662,-0.004036,0.225475,0.379176,0.265908,0.757836,0.5363359999999999,0.47701800000000005,0.23520620422470725
1.44,37,0.04,-0.335667,-1.052835,-1.232615,-0.624316,-0.565485,-0.133141,0.914851,0.8906959999999999,0.783617,0.302619,0.08366599999999999,0.21415,0.310673,0.49997700000000006,0.600649,0.562336,0.398064,0.2353481700640675
1.48,38,0.04,-0.5412710000000001,-1.166677,-1.4007120000000002,-0.454787,-0.403854,-0.378052,0.821177,0.921314,0.377067,0.419613,0.08459900000000001,0.142992,0.225279,0.403202,0.527799,0.643664,0.47176599999999996,0.23549013590342774
1.52,39,0.04,-0.46482399999999996,-1.10101,-1.3094709999999998,-0.448587,-0.38367199999999996,-0.305042,0.812051,0.9861850000000001,0.31977,0.422275,0.057349000000000004,0.23246599999999998,0.212206,0.397623,0.502858,0.899701,0.340927,0.23563210174278798
1.56,40,0.04,-0.45837700000000003,-1.089901,-1.20048,-0.452582,-0.35273000000000004,-0.321044,0.817619,0.894652,0.385425,0.418504,0.027593,0.24899699999999997,0.204243,0.395706,0.5118729999999999,0.8850629999999999,0.372276,0.23577406758214825
1.6,41,0.04,-0.449391,-1.133434,-1.210365,-0.475232,-0.396896,-0.21838400000000002,0.875109,1.060653,0.47905299999999995,0.424842,0.09554,0.292497,0.202498,0.39259299999999997,0.537832,0.727761,0.42386899999999994,0.2359160334215085
1.64,42,0.04,-0.463617,-0.9732870000000001,-1.023327,-0.345475,-0.20579699999999998,-0.190192,0.834414,0.893051,0.799666,0.150058,-0.292825,0.810435,0.5737720000000001,0.780234,0.8656370000000001,0.388386,0.548459,0.23605799926086873
1.68,43,0.04,0.411232,-1.007673,-1.474246,0.153506,-0.011149,0.391808,0.9688110000000001,1.649041,1.3282479999999999,0.041216,0.00231,1.671884,0.619085,1.353278,0.220975,0.670048,-0.39057800000000004,0.23619996510022898
1.72,44,0.04,0.10585599999999999,-1.1097860000000002,-1.583466,0.069663,0.20691199999999998,0.667184,0.6558649999999999,1.7232889999999998,0.761203,0.2208,-0.68799,1.060834,-0.35544499999999996,1.5655540000000001,0.596294,0.576363,-0.70272,0.23634193093958922
1.76,45,0.04,0.094292,-1.132629,-1.279779,-0.292693,0.14918499999999998,0.9342530000000001,0.260389,1.451283,0.802812,0.19223099999999999,-0.5173449999999999,0.717544,-0.253632,1.35996,0.521059,0.423454,-0.49729300000000004,0.23648389677894946
1.8,46,0.04,0.264921,-1.0748790000000001,-1.019411,0.047861,0.196455,1.1647379999999998,0.428162,1.673196,0.527728,0.33805100000000005,-0.712957,1.049077,0.026674,1.6734229999999999,0.73992,0.639828,-0.298388,0.2366258626183097
1.84,47,0.04,0.090771,-0.9763290000000001,-1.209506,-0.148532,0.105429,0.923414,-0.085587,1.3571950000000002,0.580018,0.45812600000000003,-0.662557,0.645505,0.161599,1.786001,0.524415,0.421275,-0.841641,0.23676782845766994
1.88,48,0.04,-0.140736,-0.917269,-1.168976,-0.46583900000000006,0.086499,0.940622,-0.256179,1.272562,0.9194680000000001,0.31700500000000004,-1.185409,0.488359,-0.04268,1.968752,0.332726,0.220426,-0.5606479999999999,0.23690979429703019
1.92,49,0.04,-1.069619,-0.7832680000000001,-1.072713,-0.6760619999999999,0.049055,0.801779,0.051225,1.446949,1.2020170000000001,0.121772,-0.906608,0.5093449999999999,0.606558,1.8807209999999999,0.5604279999999999,0.950673,-0.48493100000000006,0.23705176013639045
1.96,50,0.04,-0.67161,-0.696444,-1.095874,-0.7153970000000001,0.139934,1.376499,-0.083459,1.180909,0.633912,0.265827,-0.585045,0.55224,0.48658500000000005,2.006148,0.499109,0.8808860000000001,-0.339515,0.2371937259757507
2.0,51,0.04,-0.8949969999999999,-0.711109,-0.996776,-0.9645809999999999,0.048136,1.104565,0.25921700000000003,1.663498,1.186141,0.342969,-0.8003939999999999,0.398995,0.98864,1.785248,0.110921,0.674347,-0.59773,0.23733569181511094
2.04,52,0.04,-0.7869510000000001,-0.791672,-0.8419059999999999,-0.9767170000000001,0.023024,0.984333,0.324707,1.846483,1.1465049999999999,0.355823,-0.8569319999999999,0.39366100000000004,1.07158,1.7521689999999999,0.146208,0.673231,-0.788738,0.23747765765447118
2.08,53,0.04,-0.832292,-0.473951,-1.0422069999999999,-0.8478100000000001,-0.00105,0.891842,0.50969,1.39415,1.381945,0.6765939999999999,-0.805584,0.635736,1.0236530000000001,1.9653919999999998,-0.26195799999999997,0.528091,-0.938767,0.23761962349383142
2.12,54,0.04,-0.879907,-0.49837,-1.177634,-1.0661049999999999,-0.076921,0.784131,0.212019,1.409419,1.389219,0.579886,-0.995919,0.6282,1.039794,2.02964,-0.086039,0.464063,-0.757049,0.23776158933319166
2.16,55,0.04,-1.038664,-0.485317,-0.85905,-0.9269219999999999,0.062069000000000006,1.033659,0.34358,1.125692,1.116203,0.509714,-1.076455,0.779025,0.7269760000000001,2.013986,0.15443800000000002,0.648382,-0.66657,0.2379035551725519
2.2,56,0.04,-0.854508,-0.498007,-0.800193,-1.164252,0.105207,0.9695950000000001,0.23385999999999998,1.190891,0.720504,0.435546,-1.000693,0.5543060000000001,0.7597619999999999,1.9648700000000001,0.327345,0.697022,-0.6056159999999999,0.23804552101191215
2.24,57,0.04,-0.570288,-0.251706,-0.625576,-0.761188,0.168452,0.754893,0.205269,1.238972,0.6949,0.51541,-0.989928,0.50097,0.917861,1.881177,0.27711399999999997,0.8298629999999999,-0.995134,0.2381874868512724
2.28,58,0.04,0.00932,-0.252865,-0.439742,-0.877159,0.147148,0.994458,0.433544,0.855281,1.045454,0.451704,-0.718611,0.42491,0.721403,1.850587,0.26294,0.6115550000000001,-1.043485,0.23832945269063266
2.32,59,0.04,-1.030783,-0.327263,-0.744818,-0.822682,0.217651,0.935457,0.097216,0.606627,0.6629619999999999,0.5909,-1.210101,0.696874,0.7521220000000001,1.819388,0.483757,0.599852,-0.837058,0.2384714185299929
2.36,60,0.04,-0.72467,-0.388882,-0.563282,-0.789373,0.09589,0.854469,0.28470100000000004,0.773385,1.000402,0.643961,-0.735071,0.699592,0.632596,1.7920479999999999,0.400291,0.597156,-0.7908970000000001,0.23861338436935314
2.4,61,0.04,-0.888927,-0.402398,-1.153645,-1.100454,0.103345,1.058249,0.555305,1.105782,0.759027,0.358214,-0.638404,0.6930310000000001,0.762872,2.022733,0.445542,0.934551,-0.45188500000000004,0.23875535020871338
2.44,62,0.04,-0.8583360000000001,-0.382499,-1.1544290000000001,-1.092262,0.09224700000000001,1.083772,0.574976,1.1317110000000001,0.800338,0.34005,-0.740496,0.729595,0.807176,2.0467619999999997,0.44463400000000003,0.893151,-0.5015850000000001,0.23889731604807363
2.48,63,0.04,-0.6497310000000001,-0.44536800000000004,-0.6027020000000001,-1.309376,0.133179,0.851398,0.47869399999999995,0.6729229999999999,0.628676,0.400459,-0.8495360000000001,0.6689579999999999,0.61626,1.9915889999999998,0.294781,0.74458,-0.6102069999999999,0.23903928188743387
2.52,64,0.04,-0.529824,-0.396622,-0.417864,-1.27922,0.112331,0.9013909999999999,0.498837,0.822968,0.457186,0.435679,-0.839525,0.684577,0.66811,1.993359,0.187112,0.6989850000000001,-0.586349,0.2391812477267941
2.56,65,0.04,-0.43769399999999997,-0.309227,-0.513541,-1.112581,0.00993,0.791592,0.48851700000000003,0.760073,0.848464,0.278305,-0.853558,0.692463,0.94081,1.905285,0.583253,0.9937969999999999,-0.47343500000000005,0.23932321356615435
2.6,66,0.04,-0.873468,-0.361849,-0.665796,-0.898141,-0.045526,0.887502,0.283837,1.0779969999999999,1.089286,0.400953,-0.962694,0.544395,0.852407,1.8140169999999998,0.439821,0.735078,-0.62132,0.2394651794055146
2.64,67,0.04,-0.733109,-0.327407,-0.532482,-0.9985059999999999,0.030804,0.9115530000000001,0.293034,1.449738,0.826425,0.5526369999999999,-1.055058,0.690413,0.838245,1.7615900000000002,0.678516,1.011662,-0.627352,0.23960714524487486
2.68,68,0.04,-0.627832,-0.32327,-0.802068,-1.054697,-0.078181,1.062466,0.587658,1.279124,1.019292,0.31525,-0.87861,0.657284,1.026386,1.8170439999999999,0.698581,0.523331,-0.766659,0.2397491110842351
2.72,69,0.04,-0.735217,-0.503426,-0.8582569999999999,-1.091693,0.023555,0.9258879999999999,0.32611100000000004,1.186186,0.34121,0.24493099999999998,-0.49977299999999997,0.715279,1.006964,1.8190680000000001,0.9331139999999999,0.220269,-0.760229,0.23989107692359535
2.76,70,0.04,-0.699017,-0.499875,-0.417289,-1.0609520000000001,-0.090014,0.915775,0.435949,0.8667969999999999,0.5632590000000001,0.41979799999999995,-0.778745,0.6036,1.070444,1.874407,0.9819950000000001,0.373185,-0.23049,0.2400330427629556
2.8,71,0.04,-0.6397390000000001,-0.595356,-1.191898,-1.1971120000000002,-0.024054,0.911365,0.46939899999999996,1.420613,0.648256,0.5418689999999999,-0.8784059999999999,0.488233,1.031125,1.7486830000000002,0.949226,0.732554,-0.833986,0.24017500860231583
2.84,72,0.04,-0.637175,-0.580054,-1.119289,-1.192659,-0.034408999999999995,0.9361860000000001,0.43933199999999994,1.2754020000000001,0.41923900000000003,0.5108699999999999,-0.979807,0.488425,1.092719,1.79191,1.003435,0.599758,-0.710404,0.24031697444167607
2.88,73,0.04,-0.46908199999999994,-0.5465439999999999,-0.941991,-1.026928,-0.053730999999999994,0.702008,0.18693800000000002,0.8246540000000001,0.503594,0.479476,-0.425041,0.8231229999999999,1.120876,1.734386,0.998575,0.337096,-0.019302,0.24045894028103632
2.92,74,0.04,-0.8373370000000001,-0.43351000000000006,-1.386823,-0.8449129999999999,0.089072,0.815534,0.068129,1.065072,1.055619,0.54908,-0.62495,0.592701,0.9152459999999999,1.659618,0.748803,0.185109,-0.300219,0.24060090612039656
2.96,75,0.04,-0.637418,-0.49105299999999996,-0.8334729999999999,-1.091818,0.065702,0.46922200000000003,0.390727,1.477934,0.723314,0.48723900000000003,-0.71403,0.767044,0.8353879999999999,1.665202,0.727147,0.504833,-0.24104299999999998,0.2407428719597568
3.0,76,0.04,-0.625661,-0.370129,-0.686087,-0.9465899999999999,0.106065,0.779213,0.543279,1.4072200000000001,1.0631469999999998,0.492428,-0.750763,0.571746,1.128064,1.584997,0.662105,0.389671,-0.469286,0.24088483779911707
3.04,77,0.04,-0.712278,-0.382256,-0.668824,-0.9394450000000001,0.093389,0.767606,0.5755,1.253966,1.069624,0.499197,-0.675117,0.584846,1.094717,1.555842,0.729316,0.409165,-0.45959399999999995,0.2410268036384773
3.08,78,0.04,-0.38237600000000005,-0.403273,-0.718589,-1.0893760000000001,0.13661700000000002,0.719421,0.64576,1.1677600000000001,1.180847,0.656682,-0.81965,0.849361,0.953067,1.6623459999999999,0.762247,0.578145,-0.48363599999999995,0.24116876947783755
3.12,79,0.04,-0.552932,-0.384929,-0.616128,-0.950731,0.079626,0.794713,0.297873,1.0744200000000002,0.526961,0.276403,-0.9798030000000001,0.677327,0.48001499999999997,1.62154,0.91551,0.5287729999999999,-0.772479,0.2413107353171978
3.16,80,0.04,-0.72297,-0.5176970000000001,-1.238406,-0.984668,0.17036300000000001,0.806484,-0.126546,0.599071,0.330169,0.189782,-0.946857,0.585326,0.6464310000000001,1.5852190000000002,0.788797,0.460082,-0.0011710000000000002,0.24145270115655804
3.2,81,0.04,-0.406604,-0.48365699999999995,-0.724021,-1.078576,0.154746,0.721525,0.099035,0.827448,0.704059,0.42283999999999994,-1.024573,0.812217,0.6579,1.5233649999999999,0.546162,0.541147,-0.008121,0.24159466699591828
