time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.074662,-0.8986799999999999,-0.09189299999999999,-1.265172,-0.701298,-2.6758669999999998,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04509175632140361
0.04,2,0.04,0.029930000000000002,-1.079882,0.0033659999999999996,-1.359258,-0.682755,-2.7546009999999996,0.39284600000000003,0.39823000000000003,0.652428,0.41763599999999995,0.239382,-0.075183,-0.176553,0.621154,0.31800900000000004,0.735647,0.460276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04475516841616996
0.08,3,0.04,0.060277,-1.196843,-0.289209,-1.602614,-0.784402,-2.832194,0.34685900000000003,0.40775,0.356209,0.495674,0.555447,0.645767,0.399408,0.648003,0.627154,0.600907,0.287697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0444185805109363
0.12,4,0.04,0.230359,-1.186915,-0.813559,-1.500167,-0.750492,-2.762668,0.25661300000000004,0.49776499999999996,0.445967,0.536586,0.008033,0.664864,0.375765,0.643047,0.6861010000000001,0.667565,0.582541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04408199260570265
0.16,5,0.04,0.22556700000000002,-1.132963,-0.383677,-1.9186869999999998,-0.807497,-2.777918,0.42706700000000003,0.504517,0.722029,0.53158,0.407627,0.369856,0.281498,0.661,0.6232479999999999,0.76483,0.761621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04374540470046899
0.2,6,0.04,0.147351,-0.9424239999999999,-0.03859,-1.597035,-0.66652,-2.722787,0.39053499999999997,0.286018,0.24443600000000001,0.724538,0.21127100000000001,0.417741,0.236213,0.605946,0.40491900000000003,0.714345,1.1039700000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04340881679523534
0.24,7,0.04,0.174033,-1.028322,0.035382,-1.605543,-0.647489,-2.550036,0.459046,0.563895,0.6091479999999999,0.576333,0.035949,0.819029,0.395742,0.64563,0.758379,0.73316,0.677095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04307222889000168
0.28,8,0.04,0.24425700000000003,-1.025205,-0.078025,-1.4889729999999999,-0.6570819999999999,-2.710911,0.38979600000000003,0.055797,0.451748,0.652454,0.45815600000000006,0.7902859999999999,0.301656,0.643421,0.655638,0.583493,0.554991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04273564098476803
0.32,9,0.04,0.0037450000000000005,-1.020306,0.220651,-1.453003,-0.804755,-2.947939,0.50089,0.24561799999999998,0.236213,0.697906,0.120173,0.377393,0.244131,0.542989,0.526388,0.412842,0.6625340000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04239905307953437
0.36,10,0.04,0.089715,-1.016483,0.11957000000000001,-1.076911,-0.6815939999999999,-2.657483,0.202033,0.360304,0.189196,0.666722,0.379092,0.331527,0.14027,0.532917,0.18456199999999998,0.39917199999999997,0.790673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04206246517430072
0.4,11,0.04,0.06377000000000001,-0.901495,0.476179,-1.209074,-0.769084,-2.50382,0.359976,0.197898,0.46631000000000006,0.636293,0.419026,0.605032,0.44488900000000003,0.555633,0.595862,0.319362,0.9038360000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04172587726906706
