time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
13.12,1,0.0,0.9429049999999999,0.214092,-0.361615,0.521694,-0.439938,0.973666,0.074145,0.884769,0.294187,0.161,-0.18476800000000002,0.903954,0.20543000000000003,-0.082692,0.423701,1.48453,-0.041718,-0.03509916835826442
0.0,2,0.04,-0.7834369999999999,-0.7822720000000001,-0.233992,1.367705,-0.42811099999999996,-1.698798,2.842094,-0.22173,1.29997,-0.24608899999999997,1.581009,1.9508900000000002,0.581255,1.8096189999999999,0.754195,2.44802,-0.729985,-0.14158372403433012
0.04,3,0.04,-0.767917,-0.8499610000000001,-0.55087,0.70528,-0.408611,-1.6818959999999998,2.833858,-0.23794200000000001,1.115384,-0.29601,0.87982,1.278745,0.821924,2.182027,0.804006,1.75309,-1.382919,-0.14125907599873236
0.08,4,0.04,-0.940887,-0.773763,-0.991238,0.628762,-0.24914299999999998,-1.8879970000000001,2.595022,0.096564,0.962844,0.111529,1.233474,1.6476220000000001,0.25043899999999997,2.541886,1.023647,1.339314,-1.692593,-0.1409344279631346
0.12,5,0.04,-1.056402,-0.7995680000000001,-0.381288,0.196999,-0.26009499999999997,-1.599194,2.752193,0.364421,1.1101530000000002,0.117825,0.901661,1.7473900000000002,0.6032390000000001,2.495181,1.168663,1.538301,-1.594867,-0.14060977992753684
0.16,6,0.04,-1.177398,-0.9902,-1.611642,0.5274979999999999,-0.35536799999999996,-1.601548,2.711496,0.336665,1.222313,-0.16103900000000002,1.394806,1.8881849999999998,0.500877,2.076882,0.837269,1.186005,-1.749414,-0.14028513189193906
0.2,7,0.04,-1.202153,-0.866508,-0.809987,0.483954,-0.48503900000000005,-1.638064,2.342704,0.24049299999999998,0.694754,0.06323200000000001,1.084142,1.980759,1.2504709999999999,2.421757,0.856716,1.798315,-1.411153,-0.1399604838563413
0.24,8,0.04,-1.290201,-0.860397,-0.9830469999999999,0.385153,-0.683553,-2.443753,2.068655,0.06442200000000001,0.580069,0.07119500000000001,0.839408,1.727179,1.343214,2.386568,0.9482010000000001,1.617739,-1.619799,-0.13963583582074354
0.28,9,0.04,-1.166696,-0.839823,-1.123497,0.375752,-0.718785,-2.206734,2.0621869999999998,-0.009312,0.747371,-0.009959,0.7371300000000001,1.74246,1.179291,2.50787,0.773113,1.790431,-1.710098,-0.13931118778514578
0.32,10,0.04,-1.047298,-0.7490939999999999,-0.673337,0.488098,-0.325467,-1.9980740000000001,2.379882,0.173938,0.900115,0.018338999999999998,1.228925,1.771679,0.796135,2.5935580000000003,1.299174,1.6567290000000001,-2.0118709999999997,-0.13898653974954803
