time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,-0.752252,-0.661036,-0.20359000000000002,-1.436528,-0.9132170000000001,-1.506892,-0.47083400000000003,-0.885289,0.507221,0.817527,0.41226999999999997,0.5055729999999999,0.138997,0.4864,0.355202,-0.08507999999999999,0.43645100000000003,0.016111736131375065
0.04,2,0.04,-0.38301,-0.671246,-0.154593,-1.472539,-1.2435450000000001,-0.904537,-0.19161199999999998,-0.466149,0.03052,0.685469,0.578553,0.7945949999999999,0.661098,0.149076,0.01154,0.14415899999999998,0.870136,0.016400219716754972
0.08,3,0.04,-0.117335,-0.7321409999999999,-0.24310900000000002,-1.711037,-1.177889,-1.152213,-0.139449,0.016961,0.301847,0.725529,0.629211,0.644175,0.385846,0.263523,-0.452921,-0.019378,1.143239,0.01668870330213488
0.12,4,0.04,-0.654999,-0.53258,-0.41584,-1.6552650000000002,-1.18982,-0.509131,-0.168546,-0.144297,0.36184099999999997,0.673778,0.418304,0.459581,0.814878,0.29504400000000003,-0.050099,0.425788,0.728743,0.016977186887514786
0.16,5,0.04,-0.540743,-0.394432,0.078224,-1.459435,-1.137453,-0.6333840000000001,-0.016275,-0.242802,0.414566,0.88756,0.269523,0.681465,0.33478,0.159002,0.075933,0.414857,0.780254,0.017265670472894692
0.2,6,0.04,-0.537679,-0.545723,0.13564600000000002,-1.6860950000000001,-1.086096,-1.041607,-0.022358000000000003,-0.05053,0.392395,0.554754,0.8095600000000001,0.5284310000000001,0.658749,0.288721,0.0038060000000000004,0.357788,0.64867,0.0175541540582746
0.24,7,0.04,-0.353968,-0.50239,-0.149695,-1.509563,-1.162803,-0.626544,-0.192879,0.0017980000000000001,0.435654,0.818978,0.983635,0.45315600000000006,0.464947,0.148535,-0.055384,0.185701,0.22369499999999998,0.017842637643654506
0.28,8,0.04,-0.611612,-0.5436880000000001,-0.199946,-1.603113,-1.054951,-0.8789959999999999,-0.18778499999999998,-0.318412,0.633236,0.719155,0.834557,0.463629,0.222043,0.191119,0.069246,0.108028,0.662339,0.018131121229034413
0.32,9,0.04,-0.540646,-0.347508,0.12349600000000001,-1.228002,-1.069653,-0.8831049999999999,-0.184381,-0.256576,0.6090800000000001,0.706382,1.025614,0.500308,0.262534,0.17489200000000002,0.189937,0.21971300000000002,0.49299399999999993,0.01841960481441432
0.36,10,0.04,-0.49935,-0.529879,-0.767243,-1.7721360000000002,-1.289595,-0.8562209999999999,-0.15661,-0.072591,0.12586,0.720795,0.637108,0.454164,0.887237,0.163075,0.157833,0.171781,0.740297,0.018708088399794223
0.4,11,0.04,-0.558766,-0.523597,-0.966674,-1.5330139999999999,-1.246073,-0.810746,-0.144584,-0.049682,-0.038591,0.784216,0.884808,0.288578,0.879036,0.148305,0.167864,0.07056799999999999,0.573525,0.018996571985174134
0.44,12,0.04,-0.529417,-0.5469109999999999,-0.68419,-1.418138,-1.012305,-1.058883,-0.333282,-0.28585,0.159404,0.431908,1.0150350000000001,0.17136400000000002,0.422018,0.27216399999999996,0.094324,0.48138100000000006,0.9315180000000001,0.019285055570554037
0.48,13,0.04,-0.353025,-0.393201,-0.273269,-1.5937620000000001,-1.082518,-0.721414,-0.214434,-0.12072000000000001,0.41742700000000005,0.76156,0.580868,0.603214,0.556288,0.35631,0.099486,0.48832299999999995,0.61556,0.019573539155933944
0.52,14,0.04,-0.495667,-0.41371800000000003,-0.318596,-1.635508,-1.150141,-0.918841,-0.08657999999999999,-0.192908,0.29673099999999997,0.567519,0.717179,0.522617,0.222417,0.35541300000000003,0.117776,0.429504,0.762524,0.01986202274131385
0.56,15,0.04,-0.427601,-0.412131,-0.369064,-1.595176,-1.0821459999999998,-0.46973100000000007,-0.118226,-0.09303600000000001,0.260773,0.729039,0.810816,0.504445,0.5723239999999999,0.388719,0.153623,0.515281,0.779544,0.02015050632669376
0.6,16,0.04,-0.676948,-0.328276,-0.29946300000000003,-1.7206259999999998,-1.139673,-0.835285,-0.124357,-0.21708000000000002,0.057844000000000007,0.631927,0.7283470000000001,0.300465,0.469566,0.308242,0.15765,0.41905600000000004,0.744471,0.020438989912073664
0.64,17,0.04,-0.46974,-0.438479,-0.07033400000000001,-1.531428,-1.0369680000000001,-0.920291,-0.032467,-0.0064719999999999995,0.074296,0.786478,0.588708,0.5465949999999999,0.35822800000000005,0.367248,0.218637,0.42868900000000004,0.316245,0.02072747349745357
0.68,18,0.04,-0.457295,-0.497138,-0.475599,-1.232665,-0.989661,-0.780407,-0.179602,-0.24688600000000002,-0.005515,0.763388,0.953778,0.680603,0.383594,0.398989,0.0072310000000000004,0.204723,0.463221,0.021015957082833478
0.72,19,0.04,-0.645367,-0.497676,-0.137799,-1.495033,-0.991906,-0.658312,-0.089616,-0.285001,0.163347,0.5065029999999999,0.9387549999999999,0.750041,0.350513,0.48431,-0.090684,0.302502,0.506113,0.021304440668213385
0.76,20,0.04,-0.69082,-0.5982970000000001,-0.30533699999999997,-1.519177,-1.0990739999999999,-0.5017199999999999,-0.053051999999999995,-0.061973,0.101888,0.634352,0.627525,0.514059,0.879448,0.32235199999999997,0.335837,0.478184,0.597159,0.02159292425359329
0.8,21,0.04,-0.6554270000000001,-0.45234300000000005,-0.806463,-1.7790569999999999,-1.232784,-0.908408,-0.148926,-0.14509,0.11729300000000001,0.528949,0.619803,0.23340500000000003,0.49525600000000003,0.41108100000000003,0.254741,0.285033,0.5504979999999999,0.0218814078389732
0.84,22,0.04,-0.643868,-0.466512,-0.392701,-1.7129830000000001,-1.258984,-0.7907350000000001,0.008087,0.303247,0.091193,0.616192,0.670021,0.39145599999999997,0.8713420000000001,0.389743,0.48713500000000004,0.013502000000000002,0.58003,0.022169891424353105
0.88,23,0.04,-0.5605640000000001,-0.538295,-0.683608,-1.775223,-1.062556,-0.663749,-0.117257,0.143796,-0.040178,0.438838,1.1192540000000002,0.344013,0.470675,0.34776999999999997,0.29788200000000004,0.24974200000000002,0.27723600000000004,0.022458375009733012
0.92,24,0.04,-0.501749,-0.460552,-0.17719000000000001,-1.7073310000000002,-1.090588,-0.571437,-0.330518,-0.144955,-0.015889,0.674161,0.755844,0.43207799999999996,0.45109899999999997,0.377037,0.089706,0.418311,0.424372,0.02274685859511292
0.96,25,0.04,-0.48545600000000005,-0.544797,-0.671253,-1.5786360000000002,-1.092431,-0.9392450000000001,-0.342433,-0.017476,-0.015332,0.6519510000000001,0.661693,0.72564,0.6399050000000001,0.254884,-0.09637000000000001,-0.13867000000000002,0.408925,0.023035342180492826
1.0,26,0.04,-0.526648,-0.422317,-0.610036,-1.450644,-1.080534,-0.804383,-0.28073899999999996,-0.115748,0.378757,0.745732,0.287124,0.43751,0.552057,0.374254,0.040651,0.305782,0.454013,0.023323825765872733
1.04,27,0.04,-0.595442,-0.544525,-0.481134,-1.450077,-1.028329,-0.770925,-0.30141599999999996,-0.086064,0.398367,0.6133390000000001,0.449704,0.29331999999999997,0.28031799999999996,0.330312,-0.013600999999999999,0.16736600000000001,0.393932,0.02361230935125264
