time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.9153309999999999,-0.916715,-1.061974,-1.123235,-0.890446,-2.519731,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06669055531204304
0.04,2,0.04,0.716116,-0.9645090000000001,-1.1097350000000001,-0.886727,-0.916731,-2.9956169999999998,0.270717,1.2544309999999999,1.127435,0.422554,0.23992,0.27037,0.38256,0.581075,0.319398,1.0004950000000001,-0.34318200000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06647042697723654
0.08,3,0.04,0.5863659999999999,-0.9978370000000001,-1.089926,-0.940016,-0.9108959999999999,-2.898002,0.342169,0.712256,0.836432,0.419893,0.111223,0.821507,0.265258,0.738201,0.343041,0.563605,-0.041483,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06625029864243005
0.12,4,0.04,0.5609390000000001,-0.9735729999999999,-1.9273810000000002,-1.139073,-0.862983,-2.521475,0.458588,1.154191,0.40415300000000004,0.41133400000000003,0.7377090000000001,1.073517,0.5809,0.6856869999999999,0.044411,0.801578,0.034308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.06603017030762355
0.16,5,0.04,0.5411590000000001,-0.965456,-1.412269,-1.128193,-0.946674,-2.783103,0.412441,0.837181,0.336592,0.32347800000000004,0.368823,0.611103,0.509107,0.506464,0.47396400000000005,0.7563979999999999,0.558327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06581004197281705
0.2,6,0.04,0.49319799999999997,-0.937213,-1.7314669999999999,-1.1510790000000002,-0.91015,-2.8927650000000003,0.701037,1.02655,0.247442,0.429708,0.224737,0.45188999999999996,0.542033,0.63073,0.22468000000000002,0.7874369999999999,0.990188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06558991363801055
0.24,7,0.04,0.5521659999999999,-0.808106,-1.484307,-0.821225,-0.9790409999999999,-2.9756810000000002,0.6292,0.984466,0.728997,0.49323999999999996,0.498938,0.71877,0.42791,0.7231989999999999,0.5525399999999999,0.6883739999999999,0.688856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06536978530320406
0.28,8,0.04,0.563445,-0.802251,-1.7411400000000001,-0.863351,-0.9550930000000001,-2.954882,0.633927,0.976959,0.9072979999999999,0.509304,0.519722,0.683631,0.469983,0.732485,0.533425,0.67894,0.681056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06514965696839756
0.32,9,0.04,0.399331,-0.8252229999999999,-1.4755690000000001,-0.8979950000000001,-1.050206,-2.8189,0.42737200000000003,0.773927,0.6922020000000001,0.529315,0.39652800000000005,0.438734,0.250089,0.5804090000000001,0.34382399999999996,0.6463909999999999,0.833989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06492952863359105
0.36,10,0.04,0.39470900000000003,-0.8958209999999999,-1.621526,-1.019811,-0.984029,-2.6277169999999996,0.650893,0.580274,0.58212,0.621041,0.24184299999999997,0.450833,0.32581,0.519339,0.389529,0.699923,0.9366399999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06470940029878455
