time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.54965,-0.526679,0.359625,-0.407623,0.32058000000000003,0.031818,0.12901500000000002,0.17121,0.31301,0.642281,0.18648499999999998,0.716553,0.150083,0.696344,0.191971,0.311988,0.501073,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03504930978692028
0.04,2,0.04,0.507287,-0.465081,0.49791,-0.30892,0.43929799999999997,0.012395,0.68499,0.161675,0.171283,0.48952299999999993,0.151031,0.593543,0.026601,0.659801,0.188031,0.5847359999999999,0.413655,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035242070099528844
0.08,3,0.04,0.575638,-0.43616000000000005,0.468846,-0.24719899999999997,0.43794799999999995,0.042069,0.63078,0.41062,0.170166,0.466092,0.22621999999999998,0.642371,-0.003114,0.644053,0.269737,0.39510100000000004,0.441321,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035434830412137415
0.12,4,0.04,0.522566,-0.485476,0.255352,-0.217219,0.44586000000000003,-0.021015,0.639792,0.606537,0.125722,0.424338,0.199054,0.531223,-0.040038,0.629688,0.174629,0.384799,0.32137,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03562759072474598
0.16,5,0.04,0.5375489999999999,-0.476995,0.345158,-0.187617,0.44376400000000005,-0.096525,0.6558039999999999,0.392911,0.185731,0.47129,0.112578,0.523227,-0.071549,0.630209,0.281826,0.337024,0.43305299999999997,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03582035103735454
0.2,6,0.04,0.504428,-0.477386,0.339885,-0.20544899999999996,0.42772899999999997,-0.136669,0.6823640000000001,0.396022,0.193357,0.433909,0.095426,0.531155,-0.037662,0.618229,0.32214899999999996,0.334545,0.517224,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036013111349963114
0.24,7,0.04,0.507163,-0.45581099999999997,0.43280799999999997,-0.247975,0.43178999999999995,-0.123676,0.70695,0.508464,0.15192,0.465451,0.123591,0.5722,-0.068564,0.633596,0.30937600000000004,0.304347,0.36898400000000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03620587166257168
0.28,8,0.04,0.545582,-0.482443,0.358428,-0.21714,0.46922200000000003,-0.144751,0.738683,0.532782,0.206655,0.46482700000000005,0.128983,0.595597,-0.004374,0.620015,0.29644499999999996,0.290202,0.380419,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03639863197518024
0.32,9,0.04,0.546618,-0.47661800000000004,0.373103,-0.215558,0.46165100000000003,-0.11726199999999999,0.7291810000000001,0.528241,0.21873800000000002,0.462529,0.149621,0.56857,0.017966,0.61031,0.345451,0.261853,0.376158,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03659139228778881
0.36,10,0.04,0.521035,-0.48166800000000004,0.367267,-0.21700300000000003,0.449751,-0.128268,0.696913,0.48956400000000005,0.23209899999999997,0.47177399999999997,0.159899,0.504417,-0.040322000000000004,0.603234,0.34151,0.304753,0.357224,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03678415260039738
