time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.6862020000000001,-0.578106,0.163399,0.333284,-0.38310700000000003,-1.382375,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04814852807730208
0.04,2,0.04,0.370604,-0.774263,-0.586779,0.8596459999999999,-0.282136,-1.253807,0.6704829999999999,0.806125,0.322216,0.489457,0.268202,0.38965500000000003,0.819615,0.270254,1.0054319999999999,0.800739,0.468474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04759430036275881
0.08,3,0.04,0.692893,-0.7313,-0.728798,0.660461,-0.232886,-1.384045,0.335228,0.289168,0.270534,0.517599,0.490333,0.201746,0.495471,0.431583,0.960591,0.752918,0.591525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04704007264821554
0.12,4,0.04,0.766133,-0.774163,-0.659162,0.630976,-0.348938,-1.164791,0.356271,0.29433899999999996,0.171727,0.391338,0.46107299999999996,0.682327,0.128219,0.40227399999999996,0.640444,0.186122,0.733755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04648584493367226
0.16,5,0.04,0.861517,-0.775816,-0.9980190000000001,0.10594100000000001,-0.30133000000000004,-1.219959,0.570745,0.345958,0.46195299999999995,0.578018,0.20829,0.528412,0.030605,0.522625,0.903399,0.18828499999999998,0.792841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045931617219128994
0.2,6,0.04,0.775252,-0.644107,-0.791879,0.22335500000000003,-0.35682800000000003,-1.331148,0.496537,0.45463400000000004,0.7051569999999999,0.40733800000000003,0.11230799999999999,1.171414,0.26615,0.5088090000000001,0.6459010000000001,0.401277,0.9609280000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.045377389504585725
0.24,7,0.04,0.678473,-0.728861,-0.509728,0.20870300000000003,-0.419468,-1.070855,0.593069,0.75821,0.42394,0.30885799999999997,0.82031,0.691357,0.874382,0.665592,0.805642,0.685552,0.6284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044823161790042455
0.28,8,0.04,0.558699,-0.780335,-0.515841,0.062919,-0.352038,-1.15652,0.5531050000000001,0.6461899999999999,0.579709,0.37617,-0.061068,0.6866,0.47109300000000004,0.639193,0.45136499999999996,0.639588,0.712468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.04426893407549918
0.32,9,0.04,0.445721,-0.659281,-1.081317,0.08873400000000001,-0.272961,-1.015399,0.451054,0.623993,0.43638000000000005,0.49031800000000003,-0.084738,0.5845640000000001,0.22018400000000002,0.566738,0.8221459999999999,0.644079,0.54387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04371470636095591
0.36,10,0.04,0.54901,-0.634123,-0.7297859999999999,0.029131,-0.21149099999999998,-0.864302,0.555059,0.610036,0.26681900000000003,0.665034,-0.096577,0.5624779999999999,0.388288,0.499722,0.744997,0.6223770000000001,0.5811470000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04316047864641264
