time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.28891100000000003,-0.403296,-2.1836450000000003,0.711336,-0.46628400000000003,-0.9887100000000001,0.292991,0.401569,-0.324959,0.9077559999999999,0.448,0.8391719999999999,0.272932,0.796662,0.43661000000000005,0.329919,-0.019316999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.126316484719179
0.04,2,0.04,0.269416,-0.348329,-1.722588,0.7647430000000001,-0.419728,-0.822729,0.582955,0.637817,-0.189403,0.869769,0.498187,0.792766,-0.09453500000000001,0.588862,0.51455,0.49523100000000003,0.228135,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12659241259440884
0.08,3,0.04,0.263409,-0.45276400000000006,-1.5554219999999999,0.801506,-0.50958,-0.810116,0.589646,0.793435,-0.369604,0.778825,0.426349,1.029631,0.10482799999999999,0.695724,0.578317,0.28179,0.074367,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12686834046963869
0.12,4,0.04,0.292321,-0.43705900000000003,-1.0669540000000002,0.604528,-0.5662470000000001,-0.67264,0.639019,0.853932,-0.255461,0.826868,0.36278299999999997,0.861605,0.132627,0.573191,0.6490779999999999,0.49735799999999997,0.521688,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12714426834486853
0.16,5,0.04,0.272885,-0.35180300000000003,-1.6345319999999999,0.752047,-0.428316,-0.802216,0.616775,1.024717,-0.043382,0.9294530000000001,0.305858,0.5460520000000001,0.104874,0.637573,0.290844,0.231684,0.709253,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12742019622009837
0.2,6,0.04,0.30196799999999996,-0.295759,-1.4594260000000001,0.773021,-0.510436,-1.0211649999999999,0.773413,0.8863850000000001,-0.15662,0.97645,0.472945,0.680732,0.111425,0.673678,0.377681,0.30359200000000003,0.416338,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276961240953282
0.24,7,0.04,0.375436,-0.341723,-1.6764729999999999,0.681729,-0.469454,-0.8995209999999999,0.5725100000000001,0.726667,-0.411901,0.9036620000000001,0.5413140000000001,0.615358,0.032243,0.6274689999999999,0.40823400000000004,0.210404,0.346638,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12797205197055805
0.28,8,0.04,0.35837399999999997,-0.17519500000000002,-1.351266,0.862484,-0.5031770000000001,-0.773908,0.695137,1.100327,-0.065946,0.861994,0.633512,0.686527,0.13763699999999998,0.643204,0.402711,0.173377,0.41715,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282479798457879
0.32,9,0.04,0.23248600000000003,-0.336983,-1.581359,0.856505,-0.530751,-0.770993,0.640387,1.034337,-0.166487,0.75317,0.47895699999999997,0.6026779999999999,0.197988,0.66535,0.377291,0.033371,0.447042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285239077210177
0.36,10,0.04,0.369615,-0.41122,-1.8023330000000002,0.8204530000000001,-0.49382600000000004,-0.739287,0.731827,0.9066930000000001,-0.17727,0.775853,0.45152299999999995,0.7202310000000001,0.039189999999999996,0.673128,0.471638,0.31256300000000004,0.508234,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12879983559624755
