time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
13.16,1,0.0,0.811172,0.9539549999999999,2.384992,0.145008,1.144025,1.057434,-0.735526,-1.276195,2.173683,1.255701,0.9820969999999999,-0.833623,-0.042586,0.412012,-0.240402,1.597412,0.797638,-0.022750504326041004
0.0,2,0.04,-0.102335,-1.090629,-0.47741000000000006,-0.22000999999999998,-0.007363,-0.7464529999999999,1.067261,0.210542,1.4961870000000002,-0.087086,0.162057,2.157938,1.015754,0.855311,-0.124247,1.310749,-0.633938,-0.14075695677550704
0.04,3,0.04,0.167876,-1.200813,-0.9014850000000001,-0.26728,-0.018741999999999998,-0.173644,1.49796,1.127564,1.556041,-0.347335,0.6497930000000001,2.143496,1.038041,0.8260219999999999,-0.47419399999999995,1.326838,-0.037622,-0.14039827454921686
0.08,4,0.04,0.269991,-1.187433,-1.157334,-0.541937,-0.101065,-0.252923,1.344373,0.60485,1.468977,-0.374078,0.748102,1.7135770000000001,1.188216,0.7656970000000001,-0.054255,1.4482899999999999,0.090771,-0.1400395923229267
0.12,5,0.04,0.26140399999999997,-1.213495,-0.504963,-0.700729,-0.1967,-0.392716,1.162058,0.750173,1.334741,-0.091823,0.26926100000000003,1.201387,0.9934639999999999,0.693199,-0.152656,1.428341,0.51856,-0.13968091009663652
0.16,6,0.04,0.118394,-1.160786,-1.294527,-0.36070399999999997,-0.134217,-0.55898,1.365402,0.9218290000000001,1.575426,-0.281615,0.41864399999999996,1.486386,1.286822,0.612754,-0.588124,1.087917,0.195712,-0.13932222787034634
0.2,7,0.04,-0.049408999999999995,-1.258542,-1.6041219999999998,-0.743805,-0.239069,-0.42421499999999995,1.031215,1.172379,1.066883,-0.096174,0.936709,1.4428459999999999,0.971242,0.713666,-0.15424300000000002,1.440898,0.083635,-0.1389635456440562
0.24,8,0.04,-0.031177,-1.253092,-1.499488,-0.6389779999999999,-0.24186,-0.42146300000000003,1.109982,1.1967379999999999,1.018981,-0.078159,1.17259,1.615474,1.1711209999999999,0.695492,-0.132957,1.447841,0.113042,-0.138604863417766
0.28,9,0.04,0.123563,-1.24519,-1.371208,-0.630402,-0.22023800000000002,-0.8705,1.171281,1.135017,1.008192,-0.01229,0.63402,1.7443509999999998,0.8721409999999999,0.5641689999999999,-0.380287,1.053743,0.30451300000000003,-0.13824618119147583
0.32,10,0.04,0.297134,-1.200397,-0.370817,-0.49708800000000003,-0.181874,-0.715486,1.394231,0.663225,1.685238,-0.12114100000000001,1.210416,1.623047,0.919273,0.729563,-0.411211,1.286718,0.040761,-0.13788749896518568
0.36,11,0.04,0.23214,-1.113478,-0.817345,-0.41157,-0.042212,-0.814919,0.926098,0.634973,1.170788,-0.138756,0.7833,1.8867029999999998,0.9629639999999999,0.812177,-0.35225,1.22238,0.105959,-0.1375288167388955
0.4,12,0.04,0.379166,-0.9984040000000001,-0.414401,0.358128,0.119199,-0.653697,1.17825,1.016333,0.86145,-0.06984,0.9252440000000001,1.769987,0.529382,0.671376,-0.381244,1.095586,-0.030422,-0.13717013451260535
0.44,13,0.04,0.23110799999999998,-1.147518,-0.581051,-0.23671,-0.034122,-0.48080600000000007,1.306915,0.90081,0.5226350000000001,-0.253315,0.8218280000000001,1.990361,1.009343,0.529187,0.028393,1.240911,0.157183,-0.13681145228631517
0.48,14,0.04,-0.39406599999999997,-0.9534950000000001,-0.327316,0.417441,0.050843,-0.305404,0.799168,0.078192,0.758775,-0.298268,1.340959,1.98443,0.683688,0.783037,0.046312,1.0765,1.493199,-0.13645277006002499
0.52,15,0.04,-0.261964,-0.932005,-0.434141,0.350024,0.073293,-0.096454,0.902742,0.303033,0.537567,-0.22596799999999997,1.101199,1.874163,0.19306500000000001,0.642412,-0.017509,0.923826,1.5880969999999999,-0.13609408783373483
0.56,16,0.04,0.197708,-0.9739620000000001,-0.601376,0.275456,0.174989,0.26460300000000003,1.0349899999999999,0.09242,1.011488,-0.31817399999999996,1.165809,2.2517549999999997,0.588059,0.8789459999999999,-0.040645999999999995,1.281981,1.236143,-0.13573540560744465
0.6,17,0.04,0.159727,-0.978334,-0.308935,0.45414499999999997,0.26250100000000004,-0.33562,1.144443,0.233348,0.691768,-0.275204,1.6002040000000002,1.872322,-0.154792,0.9319290000000001,-0.138155,0.886962,0.41612299999999997,-0.13537672338115447
0.64,18,0.04,0.48658100000000004,-0.8634270000000001,-0.333967,0.43109200000000003,0.250268,0.047968000000000004,1.0174159999999999,0.08010199999999999,0.710685,-0.24626599999999998,1.506014,1.705096,-0.084437,0.7558600000000001,0.004567,0.840835,0.772085,-0.13501804115486432
0.68,19,0.04,0.362001,-0.854725,0.138955,0.19166,-0.028381,-0.096523,1.678869,1.11239,1.055043,-0.046075,1.261533,1.772316,-0.050142,0.6449739999999999,-0.24351,1.023676,0.418987,-0.13465935892857414
0.72,20,0.04,0.468193,-0.695462,-0.5906859999999999,0.024963,0.006684999999999999,-0.001866,1.401367,1.12812,0.6162569999999999,0.23805,1.234884,1.712227,0.062563,0.695431,0.158082,1.637449,0.450481,-0.13430067670228396
0.76,21,0.04,0.494384,-0.666908,-0.65022,0.070792,0.070237,0.133023,1.302093,0.937167,0.48543500000000006,0.225584,1.333489,1.746666,-0.052086,0.66822,0.13816900000000001,1.7343490000000001,0.14977000000000001,-0.1339419944759938
0.8,22,0.04,0.279549,-0.8946350000000001,-0.623138,0.011686,-0.073643,-0.55478,1.389274,0.889835,0.5317,0.050527999999999997,1.051124,1.96795,0.17465899999999998,0.521199,0.19406500000000002,1.560453,0.637972,-0.13358331224970363
0.84,23,0.04,0.558954,-0.8944059999999999,-0.940541,0.148013,0.047698000000000004,0.549515,1.552565,1.167583,0.940125,-0.048549,1.160205,1.909146,-0.469844,0.563058,0.033612,1.646021,0.310555,-0.13322463002341345
0.88,24,0.04,0.831318,-0.786125,-0.422696,0.410059,0.012749,-0.20565100000000003,1.407994,1.615679,0.679802,-0.127276,1.29495,2.026898,-0.056846,0.766379,0.194769,1.472038,0.256642,-0.1328659477971233
0.92,25,0.04,0.48450699999999997,-0.9940040000000001,-1.146822,-0.158644,-0.013266,0.04301,1.360069,1.737556,0.773552,-0.020161000000000002,1.4723979999999999,1.859104,-0.023041,0.606509,0.17588099999999998,1.390732,0.410967,-0.13250726557083312
0.96,26,0.04,0.560859,-1.0190059999999999,-1.115985,-0.24230500000000002,-0.0325,-0.047572,1.294383,1.585677,0.9235329999999999,-0.052347000000000005,1.504326,1.6420029999999999,0.05707,0.565868,0.047633,1.2755290000000001,0.43933599999999995,-0.13214858334454294
1.0,27,0.04,0.701731,-0.778442,-0.21061999999999997,0.136469,0.053259,-0.057747,1.615902,1.65157,1.0201799999999999,0.075846,1.162342,2.088991,0.015262999999999999,0.6897300000000001,-0.225462,1.304617,0.327315,-0.13178990111825278
1.04,28,0.04,0.631955,-0.9435520000000001,-0.5059739999999999,-0.181285,-0.13747,0.202672,1.567426,1.443192,0.506069,0.166597,0.710824,1.971285,-0.400971,0.653837,0.315706,1.9296240000000002,0.26574000000000003,-0.1314312188919626
1.08,29,0.04,0.582408,-0.9399860000000001,-0.293166,-0.184889,-0.101991,0.13311800000000001,1.6821270000000001,1.949815,0.62112,0.153943,1.114689,1.987226,0.027295999999999997,0.507908,0.149423,1.6829560000000001,0.343803,-0.13107253666567242
1.12,30,0.04,1.001113,-0.92825,-0.359171,0.356321,-0.112751,0.07234299999999999,1.6048440000000002,1.662884,1.118192,0.12981800000000002,0.870836,1.9047720000000001,0.315736,0.7368279999999999,-0.10506099999999999,1.5948209999999998,0.41872299999999996,-0.13071385443938227
1.16,31,0.04,0.740863,-1.2063549999999998,-0.166456,0.21956399999999998,0.040989,-0.322921,1.7071319999999999,1.97596,0.827675,0.020455,0.809797,2.298437,0.084485,0.708598,0.37049899999999997,1.8082610000000001,0.5021939999999999,-0.1303551722130921
1.2,32,0.04,0.644794,-1.189946,-0.010815,0.313197,0.030396,-0.343264,1.736541,2.005254,0.784216,0.040374,0.877099,2.221947,0.140952,0.637076,0.175731,1.8890779999999998,0.62646,-0.12999648998680194
